PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare
2,1,1,38.0,1,0,71.2833
4,1,1,35.0,1,0,53.1
7,0,1,54.0,0,0,51.8625
11,1,3,4.0,1,1,16.7
12,1,1,58.0,0,0,26.55
22,1,2,34.0,0,0,13.0
24,1,1,28.0,0,0,35.5
28,0,1,19.0,3,2,263.0
53,1,1,49.0,1,0,76.7292
55,0,1,65.0,0,1,61.9792
63,0,1,45.0,1,0,83.475
67,1,2,29.0,0,0,10.5
76,0,3,25.0,0,0,7.65
89,1,1,23.0,3,2,263.0
93,0,1,46.0,1,0,61.175
97,0,1,71.0,0,0,34.6542
98,1,1,23.0,0,1,63.3583
103,0,1,21.0,0,1,77.2875
111,0,1,47.0,0,0,52.0
119,0,1,24.0,0,1,247.5208
124,1,2,32.5,0,0,13.0
125,0,1,54.0,0,1,77.2875
137,1,1,19.0,0,2,26.2833
138,0,1,37.0,1,0,53.1
140,0,1,24.0,0,0,79.2
149,0,2,36.5,0,2,26.0
152,1,1,22.0,1,0,66.6
171,0,1,61.0,0,0,33.5
175,0,1,56.0,0,0,30.6958
178,0,1,50.0,0,0,28.7125
184,1,2,1.0,2,1,39.0
194,1,2,3.0,1,1,26.0
195,1,1,44.0,0,0,27.7208
196,1,1,58.0,0,0,146.5208
206,0,3,2.0,0,1,10.4625
210,1,1,40.0,0,0,31.0
216,1,1,31.0,1,0,113.275
219,1,1,32.0,0,0,76.2917
225,1,1,38.0,1,0,90.0
231,1,1,35.0,1,0,83.475
246,0,1,44.0,2,0,90.0
249,1,1,37.0,1,1,52.5542
252,0,3,29.0,1,1,10.4625
253,0,1,62.0,0,0,26.55
258,1,1,30.0,0,0,86.5
263,0,1,52.0,1,1,79.65
264,0,1,40.0,0,0,0.0
269,1,1,58.0,0,1,153.4625
270,1,1,35.0,0,0,135.6333
274,0,1,37.0,0,1,29.7
276,1,1,63.0,1,0,77.9583
292,1,1,19.0,1,0,91.0792
293,0,2,36.0,0,0,12.875
298,0,1,2.0,1,2,151.55
300,1,1,50.0,0,1,247.5208
306,1,1,0.92,1,2,151.55
308,1,1,17.0,1,0,108.9
310,1,1,30.0,0,0,56.9292
311,1,1,24.0,0,0,83.1583
312,1,1,18.0,2,2,262.375
319,1,1,31.0,0,2,164.8667
320,1,1,40.0,1,1,134.5
326,1,1,36.0,0,0,135.6333
328,1,2,36.0,0,0,13.0
330,1,1,16.0,0,1,57.9792
332,0,1,45.5,0,0,28.5
333,0,1,38.0,0,1,153.4625
337,0,1,29.0,1,0,66.6
338,1,1,41.0,0,0,134.5
340,0,1,45.0,0,0,35.5
341,1,2,2.0,1,1,26.0
342,1,1,24.0,3,2,263.0
346,1,2,24.0,0,0,13.0
357,1,1,22.0,0,1,55.0
367,1,1,60.0,1,0,75.25
370,1,1,24.0,0,0,69.3
371,1,1,25.0,1,0,55.4417
378,0,1,27.0,0,2,211.5
391,1,1,36.0,1,2,120.0
394,1,1,23.0,1,0,113.275
395,1,3,24.0,0,2,16.7
413,1,1,33.0,1,0,90.0
430,1,3,32.0,0,0,8.05
431,1,1,28.0,0,0,26.55
435,0,1,50.0,1,0,55.9
436,1,1,14.0,1,2,120.0
439,0,1,64.0,1,4,263.0
446,1,1,4.0,0,2,81.8583
450,1,1,52.0,0,0,30.5
453,0,1,30.0,0,0,27.75
454,1,1,49.0,1,0,89.1042
457,0,1,65.0,0,0,26.55
461,1,1,48.0,0,0,26.55
463,0,1,47.0,0,0,38.5
474,1,2,23.0,0,0,13.7917
485,1,1,25.0,1,0,91.0792
487,1,1,35.0,1,0,90.0
488,0,1,58.0,0,0,29.7
493,0,1,55.0,0,0,30.5
497,1,1,54.0,1,0,78.2667
499,0,1,25.0,1,2,151.55
505,1,1,16.0,0,0,86.5
506,0,1,18.0,1,0,108.9
513,1,1,36.0,0,0,26.2875
516,0,1,47.0,0,0,34.0208
517,1,2,34.0,0,0,10.5
521,1,1,30.0,0,0,93.5
524,1,1,44.0,0,1,57.9792
537,0,1,45.0,0,0,26.55
540,1,1,22.0,0,2,49.5
541,1,1,36.0,0,2,71.0
545,0,1,50.0,1,0,106.425
551,1,1,17.0,0,2,110.8833
557,1,1,48.0,1,0,39.6
559,1,1,39.0,1,1,79.65
572,1,1,53.0,2,0,51.4792
573,1,1,36.0,0,0,26.3875
578,1,1,39.0,1,0,55.9
582,1,1,39.0,1,1,110.8833
584,0,1,36.0,0,0,40.125
586,1,1,18.0,0,2,79.65
588,1,1,60.0,1,1,79.2
592,1,1,52.0,1,0,78.2667
600,1,1,49.0,1,0,56.9292
610,1,1,40.0,0,0,153.4625
619,1,2,4.0,2,1,39.0
622,1,1,42.0,1,0,52.5542
626,0,1,61.0,0,0,32.3208
628,1,1,21.0,0,0,77.9583
631,1,1,80.0,0,0,30.0
633,1,1,32.0,0,0,30.5
642,1,1,24.0,0,0,69.3
646,1,1,48.0,1,0,76.7292
648,1,1,56.0,0,0,35.5
660,0,1,58.0,0,2,113.275
663,0,1,47.0,0,0,25.5875
672,0,1,31.0,1,0,52.0
680,1,1,36.0,0,1,512.3292
682,1,1,27.0,0,0,76.7292
690,1,1,15.0,0,1,211.3375
691,1,1,31.0,1,0,57.0
699,0,1,49.0,1,1,110.8833
700,0,3,42.0,0,0,7.65
701,1,1,18.0,1,0,227.525
702,1,1,35.0,0,0,26.2875
708,1,1,42.0,0,0,26.2875
711,1,1,24.0,0,0,49.5042
713,1,1,48.0,1,0,52.0
716,0,3,19.0,0,0,7.65
717,1,1,38.0,0,0,227.525
718,1,2,27.0,0,0,10.5
725,1,1,27.0,1,0,53.1
731,1,1,29.0,0,0,211.3375
738,1,1,35.0,0,0,512.3292
742,0,1,36.0,1,0,78.85
743,1,1,21.0,2,2,262.375
746,0,1,70.0,1,1,71.0
749,0,1,19.0,1,0,53.1
752,1,3,6.0,0,1,12.475
760,1,1,33.0,0,0,86.5
764,1,1,36.0,1,2,120.0
766,1,1,51.0,1,0,77.9583
773,0,2,57.0,0,0,10.5
780,1,1,43.0,0,1,211.3375
782,1,1,17.0,1,0,57.0
783,0,1,29.0,0,0,30.0
790,0,1,46.0,0,0,79.2
797,1,1,49.0,0,0,25.9292
803,1,1,11.0,1,2,120.0
807,0,1,39.0,0,0,0.0
810,1,1,33.0,1,0,53.1
821,1,1,52.0,1,1,93.5
824,1,3,27.0,0,1,12.475
836,1,1,39.0,1,1,83.1583
854,1,1,16.0,0,1,39.4
858,1,1,51.0,0,0,26.55
863,1,1,48.0,0,0,25.9292
868,0,1,31.0,0,0,50.4958
872,1,1,47.0,1,1,52.5542
873,0,1,33.0,0,0,5.0
880,1,1,56.0,0,1,83.1583
888,1,1,19.0,0,0,30.0
890,1,1,26.0,0,0,30.0
